QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	299	29	13	14	6
QUAL	0	300	22	14	8	2
QUAL	0	301	31	20	11	7
QUAL	0	302	30	14	14	5
QUAL	0	303	25	15	10	2
QUAL	0	304	36	12	23	3
QUAL	0	305	27	14	10	2
QUAL	0	306	29	15	14	3
QUAL	0	307	39	21	18	4
QUAL	0	308	33	16	17	2
QUAL	0	309	33	14	18	7
QUAL	0	310	36	15	21	7
QUAL	0	311	27	13	14	5
QUAL	0	312	35	19	14	2
QUAL	0	313	32	16	15	0
QUAL	0	314	24	4	19	1
QUAL	0	315	17	9	8	2
QUAL	0	316	31	15	14	4
QUAL	0	317	23	9	14	3
QUAL	0	318	16	5	11	3
QUAL	0	319	23	13	10	5
QUAL	0	320	19	9	10	1
QUAL	0	321	31	16	15	2
QUAL	0	322	30	14	16	2
QUAL	0	323	23	13	10	3
QUAL	0	324	28	15	13	1
QUAL	0	325	42	16	24	2
QUAL	0	326	43	23	20	2
QUAL	0	327	27	12	15	0
QUAL	0	328	34	18	14	6
QUAL	0	329	42	21	21	3
QUAL	0	330	33	18	15	3
QUAL	0	331	30	14	15	3
QUAL	0	332	43	21	20	2
QUAL	0	333	24	17	7	2
QUAL	0	334	24	20	4	3
QUAL	0	335	31	14	16	3
QUAL	0	336	26	14	12	6
QUAL	0	337	40	21	16	4
QUAL	0	338	32	16	15	3
QUAL	0	339	20	7	13	1
QUAL	0	340	24	12	10	2
QUAL	0	341	24	14	8	1
QUAL	0	342	33	19	14	5
QUAL	0	343	29	12	16	3
QUAL	0	344	36	19	16	1
QUAL	0	345	30	13	16	1
QUAL	0	346	23	9	14	1
QUAL	0	347	15	10	5	5
QUAL	0	348	34	12	22	0
QUAL	0	349	25	15	10	3
QUAL	0	350	29	14	15	6
QUAL	0	351	32	14	17	2
QUAL	0	352	28	14	14	4
QUAL	0	353	23	14	9	2
QUAL	0	354	26	11	15	1
QUAL	0	355	27	13	14	2
QUAL	0	356	34	13	18	4
QUAL	0	357	24	12	12	1
QUAL	0	358	32	15	14	0
QUAL	0	359	30	8	20	5
QUAL	0	360	28	14	13	3
QUAL	0	361	23	14	8	1
QUAL	0	362	33	19	13	2
QUAL	0	363	30	15	14	1
QUAL	0	364	34	15	18	2
QUAL	0	365	31	19	12	1
QUAL	0	366	24	6	17	3
QUAL	0	367	24	17	7	3
QUAL	0	368	26	12	13	0
QUAL	0	369	24	15	9	4
QUAL	0	370	32	11	20	5
QUAL	0	371	28	13	15	2
QUAL	0	372	29	16	13	0
QUAL	0	373	29	14	14	1
QUAL	0	374	29	9	19	2
QUAL	0	375	33	14	19	1
QUAL	0	376	34	20	13	6
QUAL	0	377	35	18	17	1
QUAL	0	378	27	15	11	2
QUAL	0	379	23	12	9	2
QUAL	0	380	30	14	16	1
QUAL	0	381	24	7	15	2
QUAL	0	382	19	12	7	3
QUAL	0	383	24	13	11	2
QUAL	0	384	22	12	10	3
QUAL	0	385	27	13	14	1
QUAL	0	386	23	14	9	3
QUAL	0	387	22	7	14	4
QUAL	0	388	32	17	13	1
QUAL	0	389	32	14	16	0
QUAL	0	390	19	8	11	2
QUAL	0	391	31	19	12	0
QUAL	0	392	31	13	15	4
QUAL	0	393	34	15	19	4
QUAL	0	394	27	15	10	4
QUAL	0	395	23	13	10	1
QUAL	0	396	24	14	10	2
QUAL	0	397	44	19	25	2
QUAL	0	398	32	20	12	3
QUAL	0	399	32	16	14	4
QUAL	0	400	25	11	14	0
QUAL	0	401	16	11	5	2
QUAL	0	402	32	18	10	4
QUAL	0	403	28	15	13	3
QUAL	0	404	30	18	11	2
QUAL	0	405	27	15	11	2
QUAL	0	406	21	7	14	2
QUAL	0	407	24	9	13	0
QUAL	0	408	31	12	19	2
QUAL	0	409	21	11	10	5
QUAL	0	410	25	13	12	1
QUAL	0	411	29	10	17	1
QUAL	0	412	24	9	15	0
QUAL	0	413	25	17	7	4
QUAL	0	414	28	10	18	4
QUAL	0	415	18	5	12	2
QUAL	0	416	29	18	8	4
QUAL	0	417	34	15	19	2
QUAL	0	418	26	15	10	2
QUAL	0	419	25	11	14	1
QUAL	0	420	45	26	19	2
QUAL	0	421	33	16	16	3
QUAL	0	422	24	8	16	3
QUAL	0	423	26	6	19	1
QUAL	0	424	31	18	13	2
QUAL	0	425	31	14	16	1
QUAL	0	426	34	16	17	2
QUAL	0	427	22	17	5	0
QUAL	0	428	21	10	11	5
