Old Specimen ID,DNA plate,DNA plate well,Specimen ID,Label,Adductor Sample,Shell Sample,Shell Length (cm - recorded by collection team),Tallest hinge height,Shell Length (mm - recorded by HGH),Estimate for Shell Length,Extracted,Species Diagnostic (RFLP)
SS0819_256,HGH Spisula #1,13,CUP0819_256,256,Yes,YI,6.9,,69,69,10/3/19,S. solidisima
SS0819_257,HGH Spisula #1,14,CUP0819_257,257,Yes,YI,6.6,,66,66,10/3/19,S. solidisima
SS0819_258,HGH Spisula #1,15,CUP0819_258,258,Yes,P,6.6,,66,66,10/3/19,S. solidisima
SS0819_259,HGH Spisula #1,16,CUP0819_259,259,Yes,PI,,,,,10/3/19,S. solidisima
SS0819_260,HGH Spisula #1,18,CUP0819_260,260,Yes,BS,,,,,10/3/19,S. solidisima
SS0819_261,HGH Spisula #1,19,CUP0819_261,261,Yes,PS,,,,,10/3/19,S. solidisima
SS0819_262,HGH Spisula #1,20,CUP0819_262,262,Yes,BS,,,,,10/3/19,S. solidisima
SS0819_263,HGH Spisula #1,21,CUP0819_263,263,Yes,BI,,,,,10/3/19,S. solidisima
SS0819_264,HGH Spisula #1,22,CUP0819_264,264,Yes,BI,,,,,10/3/19,S. solidisima
SS0819_265,HGH Spisula #1,23,CUP0819_265,265,Yes,BI,,,,,10/3/19,S. solidisima
SS0819_266,HGH Spisula #1,24,CUP0819_266,266,Yes,YS,,,,,10/3/19,S. solidisima
SS0819_267,HGH Spisula #1,25,CUP0819_267,267,Yes,PI,,,,,10/3/19,S. solidisima
SS0819_268,HGH Spisula #1,26,CUP0819_268,268,Yes,BI,,,,,10/3/19,S. solidisima
SS0819_269,HGH Spisula #1,27,CUP0819_269,269,Yes,P,,,,,10/3/19,S. solidisima
SS0819_270,HGH Spisula #1,28,CUP0819_270,270,Yes,PI,,,,,10/3/19,S. solidisima
SS0819_271,,,CUP0819_271,271,None,N,,,,,,
SS0819_272,HGH Spisula #1,29,CUP0819_272,272,Yes,PI,,,,,10/3/19,S. solidisima
SS0819_273,HGH Spisula #1,30,CUP0819_273,273,Yes,PI,,,,,10/3/19,S. solidisima
SS0819_274,HGH Spisula #1,31,CUP0819_274,274,None,PI,,,,,10/3/19,S. solidisima
SS0819_275,HGH Spisula #1,32,CUP0819_275,275,Yes,BI,,,,,10/3/19,S. solidisima
SS0819_276,HGH Spisula #1,33,CUP0819_276,276,Yes,PI,12,,120,120,10/3/19,S. solidisima
SS0819_277,HGH Spisula #1,34,CUP0819_277,277,Yes,YI,7.2,,72,72,10/3/19,S. solidisima
SS0819_278,HGH Spisula #1,35,CUP0819_278,278,Yes,Yes,7.4,,74,74,10/3/19,S. solidisima
SS0819_279,HGH Spisula #1,36,CUP0819_279,279,Yes,Yes,6.4,,64,64,10/3/19,S. solidisima
SS0819_280,HGH Spisula #1,37,CUP0819_280,280,Yes,Yes,7.1,,71,71,10/3/19,S. solidisima
SS0819_281,HGH Spisula #1,38,CUP0819_281,281,Yes,Yes,6.5,,65,65,10/3/19,S. solidisima
