DP	[2]id	[3]bin	[4]number of genotypes	[5]fraction of genotypes (%)	[6]number of sites	[7]fraction of sites (%)
DP	0	254	0	0.000000	23	0.008684
DP	0	255	0	0.000000	26	0.009817
DP	0	256	0	0.000000	24	0.009062
DP	0	257	0	0.000000	33	0.012460
DP	0	258	0	0.000000	20	0.007551
DP	0	259	0	0.000000	37	0.013970
DP	0	260	0	0.000000	38	0.014348
DP	0	261	0	0.000000	34	0.012837
DP	0	262	0	0.000000	26	0.009817
DP	0	263	0	0.000000	30	0.011327
DP	0	264	0	0.000000	40	0.015103
DP	0	265	0	0.000000	41	0.015480
DP	0	266	0	0.000000	49	0.018501
DP	0	267	0	0.000000	37	0.013970
DP	0	268	0	0.000000	20	0.007551
DP	0	269	0	0.000000	19	0.007174
DP	0	270	0	0.000000	29	0.010950
DP	0	271	0	0.000000	34	0.012837
DP	0	272	0	0.000000	25	0.009439
DP	0	273	0	0.000000	26	0.009817
DP	0	274	0	0.000000	23	0.008684
DP	0	275	0	0.000000	27	0.010194
DP	0	276	0	0.000000	30	0.011327
DP	0	277	0	0.000000	16	0.006041
DP	0	278	0	0.000000	24	0.009062
DP	0	279	0	0.000000	31	0.011705
DP	0	280	0	0.000000	17	0.006419
DP	0	281	0	0.000000	19	0.007174
DP	0	282	0	0.000000	18	0.006796
DP	0	283	0	0.000000	34	0.012837
DP	0	284	0	0.000000	30	0.011327
DP	0	285	0	0.000000	24	0.009062
DP	0	286	0	0.000000	28	0.010572
DP	0	287	0	0.000000	25	0.009439
DP	0	288	0	0.000000	35	0.013215
DP	0	289	0	0.000000	20	0.007551
DP	0	290	0	0.000000	21	0.007929
DP	0	291	0	0.000000	14	0.005286
DP	0	292	0	0.000000	24	0.009062
DP	0	293	0	0.000000	9	0.003398
DP	0	294	0	0.000000	23	0.008684
DP	0	295	0	0.000000	20	0.007551
DP	0	296	0	0.000000	17	0.006419
DP	0	297	0	0.000000	14	0.005286
DP	0	298	0	0.000000	15	0.005664
DP	0	299	0	0.000000	6	0.002265
DP	0	300	0	0.000000	13	0.004908
DP	0	301	0	0.000000	28	0.010572
DP	0	302	0	0.000000	18	0.006796
DP	0	303	0	0.000000	19	0.007174
DP	0	304	0	0.000000	19	0.007174
DP	0	305	0	0.000000	17	0.006419
DP	0	306	0	0.000000	19	0.007174
DP	0	307	0	0.000000	7	0.002643
DP	0	308	0	0.000000	12	0.004531
DP	0	309	0	0.000000	17	0.006419
DP	0	310	0	0.000000	25	0.009439
DP	0	311	0	0.000000	19	0.007174
DP	0	312	0	0.000000	12	0.004531
DP	0	313	0	0.000000	21	0.007929
DP	0	314	0	0.000000	10	0.003776
DP	0	315	0	0.000000	10	0.003776
DP	0	316	0	0.000000	17	0.006419
DP	0	317	0	0.000000	14	0.005286
DP	0	318	0	0.000000	17	0.006419
DP	0	319	0	0.000000	16	0.006041
DP	0	320	0	0.000000	13	0.004908
DP	0	321	0	0.000000	8	0.003021
DP	0	322	0	0.000000	10	0.003776
DP	0	323	0	0.000000	12	0.004531
DP	0	324	0	0.000000	14	0.005286
DP	0	325	0	0.000000	19	0.007174
DP	0	326	0	0.000000	26	0.009817
DP	0	327	0	0.000000	12	0.004531
DP	0	328	0	0.000000	14	0.005286
DP	0	329	0	0.000000	12	0.004531
DP	0	330	0	0.000000	9	0.003398
DP	0	331	0	0.000000	8	0.003021
DP	0	332	0	0.000000	11	0.004153
DP	0	333	0	0.000000	11	0.004153
DP	0	334	0	0.000000	14	0.005286
DP	0	335	0	0.000000	10	0.003776
DP	0	336	0	0.000000	11	0.004153
DP	0	337	0	0.000000	5	0.001888
DP	0	338	0	0.000000	8	0.003021
DP	0	339	0	0.000000	12	0.004531
DP	0	340	0	0.000000	9	0.003398
DP	0	341	0	0.000000	8	0.003021
DP	0	342	0	0.000000	12	0.004531
DP	0	343	0	0.000000	8	0.003021
DP	0	344	0	0.000000	7	0.002643
DP	0	345	0	0.000000	10	0.003776
DP	0	346	0	0.000000	12	0.004531
DP	0	347	0	0.000000	12	0.004531
