QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	433	867	420	379	65
QUAL	0	434	916	488	328	71
QUAL	0	435	910	454	367	48
QUAL	0	436	830	396	332	76
QUAL	0	437	855	422	337	72
QUAL	0	438	821	371	345	57
QUAL	0	439	863	429	328	62
QUAL	0	440	842	419	332	78
QUAL	0	441	811	391	325	68
QUAL	0	442	913	454	355	76
QUAL	0	443	808	389	341	77
QUAL	0	444	833	386	351	62
QUAL	0	445	859	416	353	60
QUAL	0	446	818	390	327	66
QUAL	0	447	868	444	340	69
QUAL	0	448	831	413	323	66
QUAL	0	449	846	420	330	62
QUAL	0	450	820	391	344	56
QUAL	0	451	801	396	315	74
QUAL	0	452	849	411	334	74
QUAL	0	453	836	412	351	73
QUAL	0	454	849	439	320	68
QUAL	0	455	817	383	353	67
QUAL	0	456	841	398	347	71
QUAL	0	457	787	384	303	55
QUAL	0	458	863	408	353	61
QUAL	0	459	793	406	308	60
QUAL	0	460	880	435	344	55
QUAL	0	461	798	379	319	53
QUAL	0	462	847	431	340	67
QUAL	0	463	821	399	336	58
QUAL	0	464	820	409	329	59
QUAL	0	465	774	361	322	64
QUAL	0	466	826	421	315	57
QUAL	0	467	807	397	332	57
QUAL	0	468	812	402	321	64
QUAL	0	469	880	427	351	67
QUAL	0	470	825	393	336	57
QUAL	0	471	829	394	350	72
QUAL	0	472	820	413	306	71
QUAL	0	473	820	403	328	48
QUAL	0	474	819	390	333	75
QUAL	0	475	821	401	320	62
QUAL	0	476	796	414	303	69
QUAL	0	477	838	405	344	72
QUAL	0	478	850	414	348	60
QUAL	0	479	789	372	333	49
QUAL	0	480	761	395	289	62
QUAL	0	481	793	386	306	67
QUAL	0	482	789	390	323	51
QUAL	0	483	790	382	328	71
QUAL	0	484	802	397	318	45
QUAL	0	485	796	377	344	63
QUAL	0	486	768	379	299	65
QUAL	0	487	756	343	323	66
QUAL	0	488	757	398	285	53
QUAL	0	489	758	370	295	48
QUAL	0	490	782	388	314	62
QUAL	0	491	782	373	315	64
QUAL	0	492	777	386	309	53
QUAL	0	493	749	360	287	80
QUAL	0	494	713	329	306	49
QUAL	0	495	759	379	294	59
QUAL	0	496	751	358	299	57
QUAL	0	497	733	349	299	64
QUAL	0	498	704	343	294	50
QUAL	0	499	751	359	312	55
QUAL	0	500	705	358	259	59
QUAL	0	501	765	371	291	54
QUAL	0	502	713	371	264	69
QUAL	0	503	743	369	295	66
QUAL	0	504	759	377	298	49
QUAL	0	505	785	385	305	65
QUAL	0	506	755	346	319	59
QUAL	0	507	797	389	316	51
QUAL	0	508	734	374	282	55
QUAL	0	509	746	360	305	57
QUAL	0	510	781	388	311	59
QUAL	0	511	817	392	330	76
QUAL	0	512	763	369	308	65
QUAL	0	513	690	353	260	52
QUAL	0	514	709	335	294	57
QUAL	0	515	682	332	266	47
QUAL	0	516	769	389	303	56
QUAL	0	517	728	361	290	66
QUAL	0	518	725	354	292	59
QUAL	0	519	726	358	287	70
QUAL	0	520	777	357	321	57
QUAL	0	521	692	321	272	69
QUAL	0	522	725	342	299	57
QUAL	0	523	692	346	277	58
QUAL	0	524	691	338	264	62
QUAL	0	525	699	331	292	51
QUAL	0	526	785	347	320	59
QUAL	0	527	748	342	314	61
QUAL	0	528	715	330	295	62
QUAL	0	529	714	343	291	59
QUAL	0	530	707	325	299	58
QUAL	0	531	721	346	282	61
QUAL	0	532	709	340	283	69
QUAL	0	533	753	365	317	40
QUAL	0	534	704	316	298	57
QUAL	0	535	741	358	298	52
QUAL	0	536	736	346	316	51
QUAL	0	537	688	330	260	48
QUAL	0	538	684	349	249	58
QUAL	0	539	716	348	301	51
QUAL	0	540	725	359	274	66
QUAL	0	541	722	338	290	59
QUAL	0	542	683	314	284	43
QUAL	0	543	629	318	228	61
QUAL	0	544	692	324	300	54
QUAL	0	545	736	359	292	51
QUAL	0	546	674	307	294	57
QUAL	0	547	708	324	311	46
QUAL	0	548	672	329	268	49
QUAL	0	549	698	326	292	58
QUAL	0	550	706	357	267	70
QUAL	0	551	681	311	278	57
QUAL	0	552	697	324	282	54
QUAL	0	553	662	337	239	64
QUAL	0	554	638	305	247	53
QUAL	0	555	732	356	290	62
QUAL	0	556	687	330	266	59
QUAL	0	557	712	324	295	51
QUAL	0	558	660	307	280	54
QUAL	0	559	650	304	264	60
QUAL	0	560	617	287	248	61
QUAL	0	561	683	335	247	65
QUAL	0	562	624	276	254	63
QUAL	0	563	659	330	262	62
QUAL	0	564	665	314	272	58
QUAL	0	565	662	366	232	55
QUAL	0	566	695	323	285	38
QUAL	0	567	618	295	244	58
QUAL	0	568	643	303	255	60
QUAL	0	569	714	365	266	44
QUAL	0	570	667	310	283	51
QUAL	0	571	624	329	231	62
QUAL	0	572	673	325	276	51
QUAL	0	573	660	345	231	39
QUAL	0	574	653	314	260	54
QUAL	0	575	671	323	280	61
QUAL	0	576	631	297	258	56
QUAL	0	577	652	285	300	47
QUAL	0	578	658	299	292	51
QUAL	0	579	636	304	247	56
QUAL	0	580	686	334	271	57
QUAL	0	581	642	320	250	49
QUAL	0	582	674	314	280	53
QUAL	0	583	653	309	268	57
QUAL	0	584	646	281	279	58
QUAL	0	585	597	295	233	46
QUAL	0	586	649	338	224	45
QUAL	0	587	609	279	254	63
QUAL	0	588	619	280	268	52
QUAL	0	589	611	306	225	53
QUAL	0	590	611	301	235	49
QUAL	0	591	603	294	241	47
QUAL	0	592	671	306	292	61
QUAL	0	593	629	302	247	56
QUAL	0	594	610	301	243	44
QUAL	0	595	624	310	246	52
QUAL	0	596	613	295	246	42
QUAL	0	597	640	314	258	45
QUAL	0	598	649	297	263	53
QUAL	0	599	664	338	264	48
QUAL	0	600	646	312	267	51
QUAL	0	601	606	290	234	48
QUAL	0	602	627	302	257	57
QUAL	0	603	609	286	261	41
QUAL	0	604	607	298	245	57
QUAL	0	605	634	313	244	49
QUAL	0	606	625	292	255	43
QUAL	0	607	607	299	235	46
QUAL	0	608	601	285	232	45
QUAL	0	609	600	292	240	48
QUAL	0	610	570	259	237	45
QUAL	0	611	614	284	252	60
QUAL	0	612	616	288	247	47
QUAL	0	613	586	277	247	35
QUAL	0	614	592	275	245	50
QUAL	0	615	622	280	266	59
QUAL	0	616	609	284	253	39
QUAL	0	617	616	301	248	57
QUAL	0	618	609	307	226	46
QUAL	0	619	603	301	235	41
QUAL	0	620	590	285	232	52
QUAL	0	621	634	318	227	45
QUAL	0	622	588	289	228	50
QUAL	0	623	671	309	271	54
QUAL	0	624	601	301	222	44
QUAL	0	625	634	325	220	54
QUAL	0	626	583	293	228	46
QUAL	0	627	588	290	209	55
QUAL	0	628	619	279	264	60
QUAL	0	629	635	299	251	56
QUAL	0	630	600	295	236	34
QUAL	0	631	611	318	227	61
QUAL	0	632	617	295	247	53
QUAL	0	633	554	278	207	39
QUAL	0	634	635	293	253	41
QUAL	0	635	593	276	240	50
QUAL	0	636	580	267	230	46
QUAL	0	637	581	282	231	52
QUAL	0	638	607	259	257	41
QUAL	0	639	541	244	210	52
QUAL	0	640	603	296	222	51
QUAL	0	641	565	270	215	43
QUAL	0	642	576	263	249	48
QUAL	0	643	587	277	240	52
QUAL	0	644	573	269	239	47
QUAL	0	645	559	262	221	41
QUAL	0	646	628	299	265	36
QUAL	0	647	562	249	238	50
QUAL	0	648	579	268	238	49
QUAL	0	649	597	314	209	52
QUAL	0	650	606	318	225	49
QUAL	0	651	573	282	231	50
QUAL	0	652	608	307	245	41
QUAL	0	653	560	250	238	43
QUAL	0	654	536	255	225	48
QUAL	0	655	512	241	219	39
QUAL	0	656	534	275	202	51
QUAL	0	657	553	253	231	50
QUAL	0	658	549	266	222	41
QUAL	0	659	580	255	244	53
QUAL	0	660	580	280	232	48
QUAL	0	661	559	264	229	52
QUAL	0	662	558	246	235	49
QUAL	0	663	545	256	223	41
QUAL	0	664	565	272	222	40
QUAL	0	665	523	237	217	43
QUAL	0	666	573	294	204	42
QUAL	0	667	560	248	235	50
QUAL	0	668	562	273	211	50
QUAL	0	669	535	249	222	53
QUAL	0	670	532	260	212	40
QUAL	0	671	572	279	221	42
QUAL	0	672	515	241	202	37
QUAL	0	673	556	262	225	50
QUAL	0	674	528	245	220	37
QUAL	0	675	530	255	204	51
QUAL	0	676	518	241	204	45
QUAL	0	677	509	250	190	46
QUAL	0	678	541	266	222	44
QUAL	0	679	545	256	229	34
QUAL	0	680	567	292	218	39
QUAL	0	681	544	272	207	37
QUAL	0	682	532	260	201	39
QUAL	0	683	575	281	216	41
QUAL	0	684	501	246	201	42
QUAL	0	685	540	254	212	50
QUAL	0	686	548	283	193	39
QUAL	0	687	565	267	227	43
QUAL	0	688	486	243	187	49
QUAL	0	689	550	256	221	45
QUAL	0	690	565	255	226	28
QUAL	0	691	537	264	205	51
QUAL	0	692	521	267	188	43
QUAL	0	693	524	243	211	46
QUAL	0	694	535	244	220	39
QUAL	0	695	547	256	231	51
QUAL	0	696	514	241	200	40
QUAL	0	697	524	242	215	38
QUAL	0	698	540	248	228	47
QUAL	0	699	550	262	217	42
QUAL	0	700	535	257	218	50
QUAL	0	701	526	256	203	49
QUAL	0	702	539	247	208	56
QUAL	0	703	540	244	225	29
QUAL	0	704	529	272	185	51
QUAL	0	705	516	254	209	35
QUAL	0	706	499	242	197	41
QUAL	0	707	497	241	205	43
QUAL	0	708	521	249	196	40
QUAL	0	709	521	252	211	35
QUAL	0	710	541	256	220	42
QUAL	0	711	500	225	207	35
QUAL	0	712	500	237	198	36
QUAL	0	713	511	231	222	44
QUAL	0	714	494	243	177	43
QUAL	0	715	491	237	182	33
QUAL	0	716	491	223	188	33
QUAL	0	717	531	249	210	40
QUAL	0	718	502	236	207	37
QUAL	0	719	488	241	191	37
QUAL	0	720	513	236	213	42
QUAL	0	721	497	237	193	43
QUAL	0	722	528	260	198	44
QUAL	0	723	498	253	183	33
QUAL	0	724	496	212	218	40
QUAL	0	725	491	234	186	38
QUAL	0	726	486	230	200	37
QUAL	0	727	476	234	179	35
QUAL	0	728	455	221	187	31
QUAL	0	729	467	211	200	38
QUAL	0	730	513	239	199	41
QUAL	0	731	505	233	197	40
QUAL	0	732	477	232	191	38
QUAL	0	733	481	246	179	38
QUAL	0	734	491	229	190	37
QUAL	0	735	503	254	198	25
QUAL	0	736	516	264	185	42
QUAL	0	737	515	235	204	49
QUAL	0	738	494	223	213	39
QUAL	0	739	481	210	201	44
QUAL	0	740	547	273	198	38
QUAL	0	741	494	244	182	49
QUAL	0	742	484	219	204	46
QUAL	0	743	507	249	195	37
QUAL	0	744	468	220	181	35
QUAL	0	745	492	244	189	48
QUAL	0	746	519	236	215	34
QUAL	0	747	486	237	193	39
QUAL	0	748	453	222	174	42
QUAL	0	749	466	232	176	43
QUAL	0	750	475	216	177	35
QUAL	0	751	449	214	179	35
QUAL	0	752	487	229	178	43
QUAL	0	753	481	222	192	39
QUAL	0	754	461	213	185	27
QUAL	0	755	516	248	202	45
QUAL	0	756	463	215	196	41
QUAL	0	757	463	194	194	39
QUAL	0	758	487	224	214	31
QUAL	0	759	506	231	207	43
QUAL	0	760	486	223	198	34
QUAL	0	761	462	217	183	50
QUAL	0	762	438	220	161	38
QUAL	0	763	514	231	216	37
QUAL	0	764	483	232	189	34
QUAL	0	765	506	226	196	45
QUAL	0	766	456	222	171	44
QUAL	0	767	441	199	178	45
