QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	280	118	55	43	4
QUAL	0	281	105	41	42	7
QUAL	0	282	91	40	40	11
QUAL	0	283	136	62	57	7
QUAL	0	284	113	52	46	7
QUAL	0	285	123	63	44	2
QUAL	0	286	116	46	52	3
QUAL	0	287	168	87	63	7
QUAL	0	288	110	34	54	8
QUAL	0	289	118	50	50	8
QUAL	0	290	135	57	57	8
QUAL	0	291	155	69	64	6
QUAL	0	292	98	45	31	2
QUAL	0	293	119	56	46	8
QUAL	0	294	125	67	43	10
QUAL	0	295	90	43	36	8
QUAL	0	296	102	47	31	9
QUAL	0	297	117	55	50	6
QUAL	0	298	110	44	46	7
QUAL	0	299	105	44	42	3
QUAL	0	300	84	37	32	6
QUAL	0	301	101	58	34	5
QUAL	0	302	103	46	41	7
QUAL	0	303	101	46	36	11
QUAL	0	304	91	42	32	5
QUAL	0	305	108	58	34	8
QUAL	0	306	100	45	40	3
QUAL	0	307	96	38	45	10
QUAL	0	308	93	51	32	4
QUAL	0	309	100	46	38	3
QUAL	0	310	141	62	66	7
QUAL	0	311	83	34	27	4
QUAL	0	312	111	49	42	6
QUAL	0	313	97	38	38	6
QUAL	0	314	146	65	68	9
QUAL	0	315	73	31	30	5
QUAL	0	316	85	37	37	6
QUAL	0	317	128	55	58	7
QUAL	0	318	80	41	21	4
QUAL	0	319	87	42	34	5
QUAL	0	320	92	43	34	6
QUAL	0	321	95	39	42	5
QUAL	0	322	89	43	30	9
QUAL	0	323	82	34	38	5
QUAL	0	324	91	42	36	6
QUAL	0	325	93	44	34	7
QUAL	0	326	92	39	33	7
QUAL	0	327	104	48	37	4
QUAL	0	328	88	39	37	14
QUAL	0	329	84	37	32	7
QUAL	0	330	91	42	34	7
QUAL	0	331	86	34	32	4
QUAL	0	332	80	38	31	3
QUAL	0	333	104	44	40	5
QUAL	0	334	106	46	51	4
QUAL	0	335	93	41	35	5
QUAL	0	336	93	50	31	3
QUAL	0	337	111	51	45	7
QUAL	0	338	75	33	26	6
QUAL	0	339	67	33	29	1
QUAL	0	340	96	49	39	6
QUAL	0	341	102	50	39	3
QUAL	0	342	71	36	27	6
QUAL	0	343	71	35	27	3
QUAL	0	344	98	43	42	8
QUAL	0	345	82	32	34	5
QUAL	0	346	73	34	25	5
QUAL	0	347	79	39	24	7
QUAL	0	348	92	48	28	4
QUAL	0	349	66	38	22	2
QUAL	0	350	67	29	30	1
QUAL	0	351	56	16	26	3
QUAL	0	352	74	38	27	8
QUAL	0	353	90	40	34	6
QUAL	0	354	73	36	29	5
QUAL	0	355	86	39	34	5
QUAL	0	356	77	34	27	6
QUAL	0	357	105	48	47	4
QUAL	0	358	58	26	22	10
QUAL	0	359	59	28	25	8
QUAL	0	360	67	30	28	5
QUAL	0	361	110	48	42	5
QUAL	0	362	68	34	22	3
QUAL	0	363	71	33	21	4
QUAL	0	364	92	49	31	5
QUAL	0	365	56	24	19	3
QUAL	0	366	71	31	20	6
QUAL	0	367	79	41	27	7
QUAL	0	368	97	46	34	5
QUAL	0	369	65	26	22	7
QUAL	0	370	78	46	20	1
QUAL	0	371	65	25	27	4
QUAL	0	372	69	29	33	5
QUAL	0	373	50	24	17	5
QUAL	0	374	58	28	19	6
QUAL	0	375	70	33	24	5
QUAL	0	376	74	31	26	5
QUAL	0	377	66	27	28	7
QUAL	0	378	67	20	36	4
QUAL	0	379	74	33	26	4
QUAL	0	380	84	34	29	6
QUAL	0	381	56	17	26	4
QUAL	0	382	62	32	23	3
QUAL	0	383	66	27	28	7
QUAL	0	384	88	42	27	5
QUAL	0	385	72	34	23	1
