Intensity Value	Number of Pixels
  316.69841	0
  480.00000	182
  317.11844	0
  317.32845	0
  317.53846	0
  317.74847	0
  481.00000	201
  318.16850	0
  318.37851	0
  318.58852	0
  482.00000	192
  319.00855	0
  319.21856	0
  319.42857	0
  319.63858	0
  483.00000	198
  320.05861	0
  320.26862	0
  320.47863	0
  320.68864	0
  484.00000	199
  321.10867	0
  321.31868	0
  321.52869	0
  321.73871	0
  485.00000	196
  322.15873	0
  322.36874	0
  322.57875	0
  322.78877	0
  486.00000	184
  323.20879	0
  323.41880	0
  323.62882	0
  487.00000	170
  324.04884	0
  324.25885	0
  324.46886	0
  324.67888	0
  488.00000	184
  325.09890	0
  325.30891	0
  325.51893	0
  325.72894	0
  489.00000	162
  326.14896	0
  326.35897	0
  326.56899	0
  326.77900	0
  490.00000	202
  327.19902	0
  327.40904	0
  327.61905	0
  491.00000	172
  328.03907	0
  328.24908	0
  328.45910	0
  328.66911	0
  492.00000	181
  329.08913	0
  329.29915	0
  329.50916	0
  329.71917	0
  493.00000	169
  330.13919	0
  330.34921	0
  330.55922	0
  330.76923	0
  494.00000	161
  331.18926	0
  331.39927	0
  331.60928	0
  495.00000	161
  332.02930	0
  332.23932	0
  332.44933	0
  332.65934	0
  496.00000	154
  333.07937	0
  333.28938	0
  333.49939	0
  333.70940	0
  497.00000	167
  334.12943	0
  334.33944	0
  334.54945	0
  334.75946	0
  498.00000	144
  335.17949	0
  335.38950	0
  335.59951	0
  499.00000	159
  336.01954	0
  336.22955	0
  336.43956	0
  336.64957	0
  500.00000	142
  337.06960	0
  337.27961	0
  337.48962	0
  337.69963	0
  501.00000	161
  338.11966	0
  338.32967	0
  338.53968	0
  338.74969	0
  502.00000	145
  339.16972	0
  339.37973	0
  339.58974	0
  503.00000	147
  340.00977	0
  340.21978	0
  340.42979	0
  340.63980	0
  504.00000	143
  341.05983	0
  341.26984	0
  341.47985	0
  341.68987	0
  505.00000	151
  342.10989	0
  342.31990	0
  342.52991	0
  342.73993	0
  506.00000	144
  343.15995	0
  343.36996	0
  343.57998	0
  343.78999	0
  507.00000	147
  344.21001	0
  344.42002	0
  344.63004	0
  508.00000	157
  345.05006	0
  345.26007	0
  345.47009	0
  345.68010	0
  509.00000	123
  346.10012	0
  346.31013	0
  346.52015	0
  346.73016	0
  510.00000	121
  347.15018	0
  347.36020	0
  347.57021	0
  347.78022	0
  511.00000	138
  348.20024	0
  348.41026	0
  348.62027	0
  512.00000	132
  349.04029	0
  349.25031	0
  349.46032	0
  349.67033	0
  513.00000	136
  350.09035	0
  350.30037	0
  350.51038	0
  350.72039	0
  514.00000	129
  351.14042	0
  351.35043	0
  351.56044	0
  351.77045	0
  515.00000	130
  352.19048	0
  352.40049	0
  352.61050	0
  516.00000	108
  353.03053	0
  353.24054	0
  353.45055	0
  353.66056	0
  517.00000	110
  354.08059	0
  354.29060	0
  354.50061	0
  354.71062	0
  518.00000	123
  355.13065	0
  355.34066	0
  355.55067	0
  355.76068	0
  519.00000	119
  356.18071	0
  356.39072	0
  356.60073	0
  520.00000	131
  357.02076	0
  357.23077	0
  357.44078	0
  357.65079	0
  521.00000	116
  358.07082	0
  358.28083	0
  358.49084	0
