Intensity Value	Number of Pixels
   77.84762	0
  134.00000	154
   78.02637	0
   78.11575	0
   78.20513	0
   78.29451	0
   78.38388	0
   78.47326	0
   78.56264	0
   78.65201	0
   78.74139	0
   78.83077	0
  135.00000	174
   79.00952	0
   79.09890	0
   79.18828	0
   79.27766	0
   79.36703	0
   79.45641	0
   79.54579	0
   79.63516	0
   79.72454	0
   79.81392	0
   79.90330	0
  136.00000	151
   80.08205	0
   80.17143	0
   80.26081	0
   80.35018	0
   80.43956	0
   80.52894	0
   80.61832	0
   80.70769	0
   80.79707	0
   80.88645	0
  137.00000	162
   81.06520	0
   81.15458	0
   81.24396	0
   81.33333	0
   81.42271	0
   81.51209	0
   81.60147	0
   81.69084	0
   81.78022	0
   81.86960	0
  138.00000	166
   82.04835	0
   82.13773	0
   82.22711	0
   82.31648	0
   82.40586	0
   82.49524	0
   82.58462	0
   82.67399	0
   82.76337	0
   82.85275	0
  139.00000	141
   83.03150	0
   83.12088	0
   83.21026	0
   83.29963	0
   83.38901	0
   83.47839	0
   83.56777	0
   83.65714	0
   83.74652	0
   83.83590	0
  140.00000	141
   84.01465	0
   84.10403	0
   84.19341	0
   84.28278	0
   84.37216	0
   84.46154	0
   84.55092	0
   84.64029	0
   84.72967	0
   84.81905	0
   84.90842	0
  141.00000	145
   85.08718	0
   85.17656	0
   85.26593	0
   85.35531	0
   85.44469	0
   85.53407	0
   85.62344	0
   85.71282	0
   85.80220	0
   85.89158	0
  142.00000	126
   86.07033	0
   86.15971	0
   86.24908	0
   86.33846	0
   86.42784	0
   86.51722	0
   86.60659	0
   86.69597	0
   86.78535	0
   86.87473	0
  143.00000	124
   87.05348	0
   87.14286	0
   87.23223	0
   87.32161	0
   87.41099	0
   87.50037	0
   87.58974	0
   87.67912	0
   87.76850	0
   87.85788	0
  144.00000	130
   88.03663	0
   88.12601	0
   88.21538	0
   88.30476	0
   88.39414	0
   88.48352	0
   88.57289	0
   88.66227	0
   88.75165	0
   88.84103	0
  145.00000	131
   89.01978	0
   89.10916	0
   89.19853	0
   89.28791	0
   89.37729	0
   89.46667	0
   89.55604	0
   89.64542	0
   89.73480	0
   89.82418	0
  146.00000	123
   90.00293	0
   90.09231	0
   90.18168	0
   90.27106	0
   90.36044	0
   90.44982	0
   90.53919	0
   90.62857	0
   90.71795	0
   90.80733	0
   90.89670	0
  147.00000	127
   91.07546	0
   91.16484	0
   91.25421	0
   91.34359	0
   91.43297	0
   91.52234	0
   91.61172	0
   91.70110	0
   91.79048	0
   91.87985	0
  148.00000	106
   92.05861	0
   92.14799	0
   92.23736	0
   92.32674	0
   92.41612	0
   92.50549	0
   92.59487	0
   92.68425	0
   92.77363	0
   92.86300	0
  149.00000	115
   93.04176	0
   93.13114	0
   93.22051	0
   93.30989	0
   93.39927	0
   93.48864	0
   93.57802	0
   93.66740	0
   93.75678	0
   93.84615	0
  150.00000	130
   94.02491	0
   94.11429	0
   94.20366	0
   94.29304	0
   94.38242	0
   94.47179	0
   94.56117	0
   94.65055	0
   94.73993	0
   94.82930	0
  151.00000	86
   95.00806	0
   95.09744	0
   95.18681	0
   95.27619	0
   95.36557	0
   95.45495	0
   95.54432	0
   95.63370	0
   95.72308	0
   95.81245	0
   95.90183	0
  152.00000	103
   96.08059	0
   96.16996	0
   96.25934	0
   96.34872	0
   96.43810	0
   96.52747	0
   96.61685	0
   96.70623	0
   96.79560	0
   96.88498	0
  153.00000	112
   97.06374	0
   97.15311	0
   97.24249	0
   97.33187	0
   97.42125	0
   97.51062	0
   97.60000	0
   97.68938	0
   97.77875	0
   97.86813	0
  154.00000	103
   98.04689	0
   98.13626	0
   98.22564	0
   98.31502	0
   98.40440	0
   98.49377	0
   98.58315	0
   98.67253	0
   98.76190	0
   98.85128	0
  155.00000	81
   99.03004	0
   99.11941	0
   99.20879	0
   99.29817	0
   99.38755	0
   99.47692	0
   99.56630	0
   99.65568	0
   99.74505	0
   99.83443	0
  156.00000	123
  100.01319	0
  100.10256	0
  100.19194	0
  100.28132	0
  100.37070	0
  100.46007	0
  100.54945	0
  100.63883	0
  100.72821	0
  100.81758	0
  100.90696	0
  157.00000	91
  101.08571	0
  101.17509	0
  101.26447	0
  101.35385	0
  101.44322	0
  101.53260	0
  101.62198	0
  101.71136	0
  101.80073	0
  101.89011	0
  158.00000	102
  102.06886	0
  102.15824	0
  102.24762	0
  102.33700	0
  102.42637	0
  102.51575	0
  102.60513	0
  102.69451	0
  102.78388	0
  102.87326	0
  159.00000	102
  103.05201	0
  103.14139	0
  103.23077	0
  103.32015	0
  103.40952	0
  103.49890	0
  103.58828	0
  103.67766	0
  103.76703	0
  103.85641	0
  160.00000	97
  104.03516	0
  104.12454	0
  104.21392	0
  104.30330	0
  104.39267	0
  104.48205	0
  104.57143	0
  104.66081	0
  104.75018	0
  104.83956	0
  161.00000	90
  105.01832	0
  105.10769	0
  105.19707	0
  105.28645	0
  105.37582	0
  105.46520	0
  105.55458	0
  105.64396	0
  105.73333	0
  105.82271	0
  162.00000	70
  106.00147	0
  106.09084	0
  106.18022	0
  106.26960	0
  106.35897	0
  106.44835	0
  106.53773	0
  106.62711	0
  106.71648	0
  106.80586	0
  106.89524	0
