DP	[2]id	[3]bin	[4]number of genotypes	[5]fraction of genotypes (%)	[6]number of sites	[7]fraction of sites (%)
DP	0	238	210	0.034902	119	0.138446
DP	0	239	180	0.029916	84	0.097727
DP	0	240	171	0.028421	105	0.122158
DP	0	241	186	0.030914	104	0.120995
DP	0	242	192	0.031911	94	0.109361
DP	0	243	146	0.024265	99	0.115178
DP	0	244	178	0.029584	105	0.122158
DP	0	245	177	0.029418	105	0.122158
DP	0	246	185	0.030747	81	0.094236
DP	0	247	185	0.030747	114	0.132629
DP	0	248	164	0.027257	100	0.116341
DP	0	249	160	0.026592	91	0.105871
DP	0	250	187	0.031080	97	0.112851
DP	0	251	156	0.025927	103	0.119832
DP	0	252	168	0.027922	86	0.100054
DP	0	253	158	0.026260	91	0.105871
DP	0	254	161	0.026758	105	0.122158
DP	0	255	152	0.025263	81	0.094236
DP	0	256	160	0.026592	109	0.126812
DP	0	257	147	0.024432	83	0.096563
DP	0	258	170	0.028254	94	0.109361
DP	0	259	145	0.024099	97	0.112851
DP	0	260	160	0.026592	86	0.100054
DP	0	261	145	0.024099	78	0.090746
DP	0	262	139	0.023102	104	0.120995
DP	0	263	142	0.023601	90	0.104707
DP	0	264	151	0.025096	97	0.112851
DP	0	265	144	0.023933	73	0.084929
DP	0	266	155	0.025761	77	0.089583
DP	0	267	145	0.024099	60	0.069805
DP	0	268	153	0.025429	94	0.109361
DP	0	269	163	0.027091	83	0.096563
DP	0	270	151	0.025096	82	0.095400
DP	0	271	161	0.026758	91	0.105871
DP	0	272	144	0.023933	104	0.120995
DP	0	273	137	0.022770	86	0.100054
DP	0	274	151	0.025096	84	0.097727
DP	0	275	120	0.019944	79	0.091910
DP	0	276	125	0.020775	79	0.091910
DP	0	277	135	0.022437	73	0.084929
DP	0	278	155	0.025761	67	0.077949
DP	0	279	148	0.024598	74	0.086093
DP	0	280	141	0.023434	72	0.083766
DP	0	281	136	0.022603	69	0.080275
DP	0	282	132	0.021939	70	0.081439
DP	0	283	131	0.021772	95	0.110524
DP	0	284	119	0.019778	72	0.083766
DP	0	285	138	0.022936	74	0.086093
DP	0	286	123	0.020443	95	0.110524
DP	0	287	131	0.021772	63	0.073295
DP	0	288	131	0.021772	89	0.103544
DP	0	289	113	0.018781	78	0.090746
DP	0	290	138	0.022936	79	0.091910
DP	0	291	130	0.021606	78	0.090746
DP	0	292	142	0.023601	79	0.091910
DP	0	293	114	0.018947	87	0.101217
DP	0	294	104	0.017285	63	0.073295
DP	0	295	148	0.024598	77	0.089583
DP	0	296	130	0.021606	80	0.093073
DP	0	297	123	0.020443	70	0.081439
DP	0	298	113	0.018781	78	0.090746
DP	0	299	124	0.020609	64	0.074458
DP	0	300	125	0.020775	79	0.091910
DP	0	301	116	0.019279	87	0.101217
DP	0	302	123	0.020443	77	0.089583
DP	0	303	109	0.018116	76	0.088419
DP	0	304	125	0.020775	70	0.081439
DP	0	305	127	0.021108	90	0.104707
DP	0	306	116	0.019279	69	0.080275
DP	0	307	98	0.016288	62	0.072132
DP	0	308	109	0.018116	85	0.098890
DP	0	309	127	0.021108	66	0.076785
DP	0	310	92	0.015291	79	0.091910
DP	0	311	108	0.017950	86	0.100054
DP	0	312	119	0.019778	73	0.084929
DP	0	313	102	0.016953	70	0.081439
DP	0	314	106	0.017617	74	0.086093
DP	0	315	111	0.018448	75	0.087256
DP	0	316	105	0.017451	51	0.059334
DP	0	317	107	0.017784	60	0.069805
DP	0	318	103	0.017119	68	0.079112
DP	0	319	102	0.016953	58	0.067478
DP	0	320	107	0.017784	69	0.080275
DP	0	321	104	0.017285	68	0.079112
DP	0	322	97	0.016122	60	0.069805
DP	0	323	114	0.018947	85	0.098890
DP	0	324	110	0.018282	56	0.065151
DP	0	325	105	0.017451	77	0.089583
DP	0	326	101	0.016786	70	0.081439
DP	0	327	125	0.020775	60	0.069805
DP	0	328	90	0.014958	59	0.068641
DP	0	329	93	0.015457	62	0.072132
DP	0	330	113	0.018781	60	0.069805
DP	0	331	106	0.017617	70	0.081439
DP	0	332	121	0.020110	62	0.072132
DP	0	333	94	0.015623	63	0.073295
DP	0	334	111	0.018448	82	0.095400
DP	0	335	91	0.015124	72	0.083766
DP	0	336	92	0.015291	74	0.086093
DP	0	337	101	0.016786	56	0.065151
DP	0	338	88	0.014626	64	0.074458
DP	0	339	80	0.013296	60	0.069805
DP	0	340	100	0.016620	65	0.075622
DP	0	341	82	0.013629	60	0.069805
DP	0	342	104	0.017285	67	0.077949
DP	0	343	88	0.014626	62	0.072132
DP	0	344	101	0.016786	60	0.069805
DP	0	345	95	0.015789	64	0.074458
DP	0	346	95	0.015789	77	0.089583
DP	0	347	97	0.016122	51	0.059334
DP	0	348	99	0.016454	66	0.076785
DP	0	349	84	0.013961	59	0.068641
DP	0	350	112	0.018615	56	0.065151
DP	0	351	79	0.013130	65	0.075622
DP	0	352	86	0.014293	62	0.072132
DP	0	353	89	0.014792	43	0.050027
DP	0	354	87	0.014460	52	0.060497
DP	0	355	93	0.015457	55	0.063988
DP	0	356	85	0.014127	58	0.067478
DP	0	357	74	0.012299	61	0.070968
